tick,flightState,filtered_altitude,filtered_acceleration
3976,IDLE,-0.381611,9.89974
3989,IDLE,-0.379166,9.8997
4006,IDLE,-0.375604,9.89952
4019,IDLE,-0.372096,9.89915
4032,IDLE,-0.368642,9.89909
4045,IDLE,-0.368672,9.89894
4058,IDLE,-0.365312,9.8993
4071,IDLE,-0.356381,9.89881
4084,IDLE,-0.349735,9.89862
4097,IDLE,-0.345419,9.89837
4110,IDLE,-0.343453,9.8984
4123,IDLE,-0.336982,9.89845
4136,IDLE,-0.332834,9.89831
4149,IDLE,-0.333304,9.89867
4162,IDLE,-0.332639,9.89845
4175,IDLE,-0.326409,9.89838
4188,IDLE,-0.32583,9.89844
4205,IDLE,-0.328598,9.89838
4218,IDLE,-0.330207,9.89853
4231,IDLE,-0.326301,9.8983
4244,IDLE,-0.325737,9.89831
4257,IDLE,-0.323009,9.89826
4270,IDLE,-0.326814,9.89817
4283,IDLE,-0.326253,9.89806
4296,IDLE,-0.32142,9.89768
4309,IDLE,-0.314495,9.89779
4324,IDLE,-0.314076,9.89774
4337,IDLE,-0.3158,9.89783
4354,IDLE,-0.309,9.89768
4371,IDLE,-0.306501,9.89793
4384,IDLE,-0.302979,9.89787
4397,IDLE,-0.303761,9.89813
4414,IDLE,-0.301359,9.89797
4427,IDLE,-0.296894,9.89821
4440,IDLE,-0.290374,9.89793
4453,IDLE,-0.285993,9.89766
4466,IDLE,-0.277418,9.89807
4479,IDLE,-0.268831,9.89824
4492,IDLE,-0.271116,9.89839
4505,IDLE,-0.267951,9.8984
4518,IDLE,-0.262677,9.89875
4531,IDLE,-0.261782,9.8989
4544,IDLE,-0.263047,9.89897
4557,IDLE,-0.256833,9.89909
4570,IDLE,-0.259223,9.89893
4583,IDLE,-0.260509,9.89867
4596,IDLE,-0.259659,9.89878
4613,IDLE,-0.259873,9.89875
4626,IDLE,-0.256965,9.89871
4639,IDLE,-0.258238,9.89888
4652,IDLE,-0.259489,9.8988
4665,IDLE,-0.262763,9.89857
4679,IDLE,-0.263953,9.89858
4692,IDLE,-0.263103,9.89839
4705,IDLE,-0.261258,9.89838
4718,IDLE,-0.255454,9.89823
4731,IDLE,-0.255704,9.89849
4744,IDLE,-0.254957,9.89834
4759,IDLE,-0.253229,9.89834
4772,IDLE,-0.247606,9.89803
4785,IDLE,-0.245954,9.898
4802,IDLE,-0.241387,9.89836
4819,IDLE,-0.23783,9.89839
