tick,gx,gy,gz
169224,-0.366222,0.656148,-0.564592
170235,0.274667,0.61037,-0.137333
171245,0.320444,-0.19837,0.244148
172247,0.80874,0.412,-0.0305185
173257,0.900296,0.579852,0.915555
174276,0.0457778,0.518815,0.854518
175284,0.625629,0.061037,-0.534074
176286,0.793481,1.17496,0.19837
177290,0.518815,0.289926,0.244148
178296,-0.412,0.61037,-0.869778
179311,-0.335704,-0.0762963,0.793481
180314,0.625629,0.793481,0.762963
181318,-0.640889,0.305185,-0.259407
182323,-0.0915555,-0.106815,0.625629
183323,0.274667,0.152593,-0.0457778
184326,0.335704,-0.366222,0.122074
185340,0.274667,1.1597,-0.0762963
186340,0.839259,0.396741,0.427259
187340,1.22074,0.991852,1.26652
188342,1.11393,-0.0915555,-0.320444
189347,0.412,1.61748,-0.305185
190355,0.80874,1.09867,0.412
191359,0.0915555,-0.106815,0.274667
192365,-0.152593,0.900296,1.11393
193371,1.00711,0.625629,0.350963
194372,1.70904,1.29704,-0.625629
195385,-0.0457778,-0.946074,-0.122074
196391,0.0457778,0.152593,-0.503555
197395,-0.228889,0.549333,0.381481
198398,-0.366222,-1.19022,0.885037
199403,-0.19837,-0.122074,-0.106815
200412,0.732444,-0.305185,0.0457778
201416,0,0.503555,0.503555
202420,2.9603,0.412,0.21363
203426,-1.14444,-0.289926,0.289926
204432,1.37333,-0.122074,0.0457778
205439,0.671407,0.595111,-0.335704
206449,0.549333,-0.106815,-0.244148
207455,0.793481,1.49541,0.534074
208459,-0.274667,-0.320444,0.0915555
209461,1.00711,0.289926,0.457778
210469,0.0152593,0.717185,0.19837
211473,0.0305185,0.503555,-2.06
212477,-0.228889,-0.640889,-0.244148
213493,0.366222,-0.289926,-0.244148
214505,0.961333,-0.778222,-0.0762963
215514,1.73956,0.686666,0.518815
216539,-0.366222,0.549333,-0.671407
217543,-0.19837,1.28178,-0.305185
218549,0.885037,1.28178,-0.473037
219553,0.61037,0.106815,0.274667
220562,-0.701926,0.21363,-0.579852
221572,0.869778,0.915555,0.549333
222574,2.82296,-0.0152593,-0.106815
223578,1.44963,0.549333,-0.762963
224581,-0.0762963,0.0152593,1.25126
225585,0.457778,0.244148,0.854518
226590,-0.122074,0.350963,0.671407
227594,1.08341,-0.396741,-0.167852
228596,0.457778,-0.167852,1.34281
229600,-0.137333,-0.061037,-0.350963
230604,0.228889,-1.46489,-1.40385
231608,-0.991852,-0.137333,-0.991852
232609,-0.244148,0.106815,-1.3123
233615,-0.473037,1.40385,0.244148
234619,0.335704,-0.259407,0.732444
235625,1.12918,1.25126,0.595111
