tick,accX,accY,accZ
162179,-9.81479,1.0562,-0.273032
163183,-9.85072,1.0562,-0.222737
164195,-9.79323,1.17835,-0.352068
165200,-9.87227,0.991538,-0.179626
166209,-9.81479,1.17835,-0.179626
167217,-9.83635,1.03465,-0.136516
168221,-9.82916,1.08494,-0.201182
169224,-9.86509,1.02028,-0.179626
170235,-9.82197,1.09213,-0.165256
171245,-9.84353,1.04183,-0.215552
172247,-9.85072,1.0562,-0.172441
173257,-9.87227,1.02746,-0.186812
174276,-9.82916,1.13524,-0.179626
175284,0.229922,11.5033,-190.347
176286,-9.84353,1.1065,-0.150886
177290,-9.84353,0.998723,-0.229922
178296,-9.82197,1.1065,-0.193997
179311,-9.8076,1.04183,-0.179626
180314,-9.83635,1.07057,-0.179626
181318,-9.82916,0.977168,-0.215552
182323,-9.83635,1.07057,-0.179626
183323,-9.83635,1.02746,-0.193997
184326,-9.86509,1.06339,-0.179626
185340,-9.83635,1.06339,-0.158071
186340,-9.82197,1.06339,-0.143701
187340,-9.8579,1.04183,-0.215552
188342,-9.83635,1.0562,-0.186812
189347,-9.82197,1.03465,-0.222737
190355,-9.8076,1.03465,-0.237107
191359,-9.92257,0.790356,-0.158071
192365,-9.82916,0.991538,-0.301772
193371,-9.93694,1.1999,-0.445474
194372,-9.84353,0.768801,-0.280217
195385,-9.86509,1.15679,-0.143701
196391,-9.8579,0.926873,-0.416733
197395,-9.78605,1.06339,-0.380808
198398,-9.98005,0.0718506,0.114961
199403,-9.8579,0.991538,-0.201182
200412,-9.82197,0.977168,-0.208367
201416,-9.85072,1.04902,-0.179626
202420,-9.95131,1.11368,-0.352068
203426,-9.80042,1.07776,-0.158071
204432,-9.81479,1.04183,-0.237107
205439,-9.84353,1.09213,-0.193997
206449,-9.84353,0.955613,-0.237107
207455,-9.79323,1.08494,-0.273032
208459,-9.79323,1.04902,-0.215552
209461,-9.85072,1.04902,-0.244292
210469,-9.84353,1.06339,-0.186812
211473,-9.86509,1.02746,-0.208367
212477,-9.86509,1.03465,-0.222737
213493,-9.8579,1.06339,-0.222737
214505,-9.86509,0.977168,-0.251477
215514,-9.84353,1.02028,-0.244292
216539,-9.8579,1.07776,-0.251477
217543,-9.87227,1.02028,-0.172441
218549,-9.81479,1.06339,-0.258662
219553,-9.8579,1.04183,-0.150886
220562,-10.0303,1.09931,-0.229922
221572,-10.0232,1.36516,-0.0646655
222574,-9.87946,0.768801,0.416733
223578,-9.82197,1.09931,-0.143701
224581,-9.87946,1.09213,-0.0574805
225585,-9.8076,1.02746,-0.172441
226590,-9.83635,1.0562,-0.143701
227594,-9.86509,1.00591,-0.165256
228596,-9.82197,0.962798,-0.165256
229600,-9.80042,1.02746,-0.179626
230604,-9.89383,1.03465,-0.215552
231608,-9.84353,1.08494,-0.208367
232609,-9.79323,1.04183,-0.237107
233615,-9.84353,1.07057,-0.193997
234619,-9.82916,1.01309,-0.136516
235625,-9.82916,1.08494,-0.179626
236637,-9.84353,1.01309,-0.201182
237643,-9.8579,1.07776,-0.172441
238645,-9.86509,1.02746,-0.158071
239655,-9.79323,1.02028,-0.208367
240663,-9.83635,1.0562,-0.136516
241667,-9.82916,1.09213,-0.179626
242667,-9.83635,1.07057,-0.208367
243673,-9.82197,1.1065,-0.193997
244679,-9.8579,1.0562,-0.201182
245687,-9.84353,1.04902,-0.215552
246699,-9.8579,0.991538,-0.193997
247701,-9.78605,1.1065,-0.215552
248706,-9.85072,1.06339,-0.193997
249706,-9.85072,1.09213,-0.208367
250712,-9.88664,1.0562,-0.193997
251718,-9.84353,1.07057,-0.222737
252718,-9.82197,1.03465,-0.244292
